,Ingredient,Number of Usage
828,strawberry preserv,34
829,*,34
830,pillsburi,33
831,muffin,33
832,cornbread,33
833,chocolate cooki,33
834,tuna pack,33
835,pie fil,33
836,peppermint candi,33
837,mustard green,33
838,chip,33
839,papaya,33
840,game hen,33
841,squid,33
842,tarragon vinegar,32
843,cacao powd,32
844,sourdough bread,32
845,champagne vinegar,32
846,candy can,32
847,petite pea,32
848,sausage link,32
849,candy bar,32
850,hummu,32
851,artificial sweeten,32
852,chorizo,32
853,fenugreek se,32
854,beef flank,32
855,galang,32
856,pink lemonad,32
857,broccoli rab,32
858,halloumi chees,32
859,banana liqueur,32
860,daikon radish,32
861,pistachio pud,31
862,raspberry flavor,31
863,mexico,31
864,safflower oil,31
865,vanilla wafer crumb,31
866,marshmallow cream,31
867,sofrito,31
868,gnocchi,31
869,sucrolose sweeten,31
870,farfalle pasta,31
871,buttery spread,31
872,chestnut,31
873,chardonnay win,31
874,crust,30
875,pickl,30
876,oelek,30
877,garlic granul,30
878,tostada shel,30
879,linguin,30
880,celery root,30
881,halibut fillet,30
882,spice cak,30
883,pancake mix,30
884,swordfish,30
885,genoa salami,30
886,butter lettuc,30
887,roll dough,30
888,black walnut,29
889,salt pork,29
890,italian dress,29
891,file powd,29
892,mushroom cap,29
893,beef roast,29
894,raspberry vinegar,29
895,wheat,29
896,rib,29
897,thick,29
898,lamb shank,29
899,catfish,29
900,soy flour,29
901,turkey leg,29
902,skirt steak,29
903,chile oil,29
904,cheese ravioli,28
905,cardamom se,28
906,mexican b,28
907,raspberry vinaigrett,28
908,spread,28
909,italian bread,28
910,jar,28
911,persimmon pulp,28
912,turkey broth,28
913,merlot win,28
914,crawfish tail,28
915,ancho chil,28
916,black lentil,28
917,escarol,28
918,egg rol,28
919,pepita,28
920,spicy mustard,28
921,bison,27
922,lamb chop,27
923,salad shrimp,27
924,irish whiskey,27
925,liquid amino,27
926,baking chip,27
927,jalapeno chile pepp,27
928,blood orang,27
929,stock,27
930,cod,27
931,bagel season,27
932,horseradish sauc,27
933,kitchen twin,27
934,chicken tenderloin,27
935,peach preserv,27
936,chile flak,26
937,paneer,26
938,beef sirloin steak,26
939,mexican blend chees,26
940,turnip green,26
941,crust dough,26
942,beef gravi,26
943,unsalted sunflower se,26
944,turkey stock,26
945,chervil,26
946,marinad,26
947,wax bean,26
948,kaiser rol,26
949,chocolate liqueur,26
950,dill se,26
951,orecchiette pasta,26
952,chocolate drink,26
953,grill season,26
954,stuffing mix,26
955,bran cer,26
956,pud,26
957,liquid pectin,26
958,chocolate chunk,26
959,bosc pear,26
960,marzipan,26
961,egg replac,26
962,wheat berri,26
963,lemon yogurt,25
964,bartlett pear,25
965,lobster,25
966,chocolate sprinkl,25
967,haddock fillet,25
968,prime,25
969,apple jelli,25
970,sherry win,25
971,liner,25
972,baking spray,25
973,chile de arbol pepp,25
974,lavender flow,25
975,turkey carcass,25
976,baby kal,25
977,scotch whiskey,25
978,chipotle chile pepp,25
979,fruit punch,25
980,sunflower oil,25
981,kielbasa,25
982,salt and pepp,25
983,ginger b,25
984,tea,25
985,pepperoncini,25
986,fruit peel,24
987,sunflower seed kernel,24
988,mushroom stem,24
989,pear halv,24
990,alfalfa sprout,24
991,burrata chees,24
992,vidalia onion,24
993,bagel,24
994,sumac powd,24
995,cornflake crumb,24
996,mignon,24
997,tail,24
998,ladyfing,24
999,candy corn,24
1000,mexican oregano,24
1001,sweet vermouth,24
1002,leg of lamb,24
1003,sumac,24
1004,rum extract,24
1005,pickle juic,23
1006,cointreau,23
1007,iron steak,23
1008,feta,23
1009,mostaccioli pasta,23
1010,manicotti shel,23
1011,buffalo w,23
1012,vermicelli pasta,23
1013,melon liqueur,23
1014,cherry pepp,23
1015,multigrain bread,23
1016,palm,23
1017,baby green,23
1018,wasabi powd,23
1019,baby pea,23
1020,broccoli coleslaw,23
1021,philadelphia,23
1022,apricot halv,23
1023,mixtur,23
1024,sec liqueur,23
1025,chutney,23
1026,beef soup,23
1027,shrimp past,23
1028,penn,22
1029,pastry flour,22
1030,velveeta,22
1031,white frost,22
1032,celery leav,22
1033,dulce de lech,22
1034,cheddar,22
1035,dressing mix,22
1036,ginger garlic past,22
1037,cream sherri,22
1038,croissant,22
1039,black tea bag,22
1040,dry stuf,22
1041,cocoa nib,22
1042,italian herb,21
1043,bibb lettuc,21
1044,fish fillet,21
1045,vanilla wafer cooki,21
1046,millet flour,21
1047,fruit preserv,21
1048,burger bun,21
1049,pomegranate molass,21
1050,beefsteak tomato,21
1051,contain,21
1052,lamb meat,21
1053,fruit flavor,21
1054,yellow bell pepp,21
1055,matzo cake m,21
1056,english cucumb,21
1057,mango nectar,21
1058,turkey drip,21
1059,lamb stew,21
1060,pretzel twist,21
1061,blackberry jam,21
1062,medjool d,21
1063,duck breast,21
1064,romain,20
1065,chipotle powd,20
1066,russet potato,20
1067,lime sherbet,20
1068,orzo,20
1069,tomato pesto,20
1070,sugar snap,20
1071,traditional sauc,20
1072,lavend,20
1073,flaxse,20
1074,strawberry extract,20
1075,manchego chees,20
1076,corned beef hash,20
1077,alcohol,20
1078,soda,20
1079,buttermilk biscuit,20
1080,iron,20
1081,ounc,19
1082,mari,19
1083,plank,19
1084,strawberry yogurt,19
1085,citron,19
1086,goji berri,19
1087,black bean sauc,19
1088,duck,19
1089,belgian end,19
1090,cinnamon chip,19
1091,english muffin,19
1092,celery flak,19
1093,kiwi fruit,19
1094,beet green,19
1095,juniper berri,19
1096,tater tot,19
1097,red snapp,19
1098,pretzel stick,19
